Dim,brute_force,brute_force_time,greedy,greedy_time,local_search,local_search_time,local_search_perm,local_search_perm_time,sim_annealing,sim_annealing_time,vns,vns_time,genetic_alg,genetic_alg_time,tabu,tabu_time,taloc_combo,taloc_combo_time
5,13.0,0.0,17.0,0.0,13.0,0.01,13.0,0.05,13.0,0.01,13.0,0.1,13.0,0.14,13.0,0.02,13.0,0.34
8,21.0,0.58,39.0,0.0,21.0,0.01,21.0,0.06,21.0,0.01,21.0,0.26,21.0,0.13,21.0,0.06,21.0,0.49
10,76.0,79.03,112.0,0.0,76.0,0.02,76.0,0.11,76.0,0.02,76.0,0.42,76.0,0.2,76.0,0.28,76.0,0.93
11,59.0,552.97,113.0,0.0,59.0,0.02,59.0,0.12,61.0,0.02,59.0,0.4,59.0,0.22,61.0,0.27,59.0,0.86
15,,,254.0,0.0,125.0,0.04,125.0,0.18,128.0,0.03,125.0,0.84,125.0,0.34,125.0,2.07,125.0,1.31
20,,,805.0,0.0,508.0,0.04,502.0,0.3,497.0,0.05,498.0,3.5,497.0,0.56,502.0,6.92,497.0,3.33
33,,,3110.0,0.0,2139.0,0.18,2125.0,0.7,2185.0,0.19,2108.0,16.71,2119.0,1.14,2082.0,62.09,2055.0,82.29
38,,,4992.0,0.0,3638.0,0.11,3635.0,0.67,3673.0,0.11,3646.0,13.58,3555.0,0.82,3577.0,59.22,3506.0,11.25
50,,,11293.0,0.0,8681.0,0.45,8633.0,2.69,8688.0,0.43,8561.0,185.92,8218.0,1.44,8244.0,204.91,8113.0,21.99
70,,,31606.0,0.0,26034.0,0.55,25591.0,2.86,26230.0,0.53,25064.0,316.9,24483.0,3.24,25058.0,1567.18,24492.0,1301.84
12,241.0,10351.71,279.0,0.0,241.0,0.02,241.0,0.1,241.0,0.01,241.0,0.35,241.0,0.15,241.0,0.15,241.0,0.83
16,,,660.0,0.0,560.0,0.03,560.0,0.16,563.0,0.03,560.0,0.88,560.0,0.23,561.0,2.14,560.0,1.55
17,,,791.0,0.0,667.0,0.03,667.0,0.2,667.0,0.03,667.0,1.31,667.0,0.25,667.0,1.38,667.0,1.82
23,,,1894.0,0.0,1582.0,0.05,1594.0,0.42,1584.0,0.05,1582.0,7.13,1581.0,0.42,1584.0,10.01,1581.0,3.79
30,,,4052.0,0.0,3435.0,0.1,3422.0,0.55,3419.0,0.1,3416.0,9.8,3416.0,0.71,3425.0,31.68,3416.0,7.67
