Dim,Method,Value,Time,Best_Iter
50,tabu_swap_neighbors,8911,10.39,292
50,tabu_swap,8494,103.18,103
50,tabu_inverse_complete,8244,204.91,62
50,tabu_inverse,8383,215.3,437
50,tabu_scramble,8249,321.97,137
50,tabu_scramble_continuous,9171,479.35,225
50,tabu_double_bridge_move,9679,479.85,174
70,tabu_swap_neighbors,26675,36.52,499
70,tabu_swap,25999,509.78,63
70,tabu_inverse_complete,25215,1019.43,142
70,tabu_inverse,26074,1056.02,494
70,tabu_scramble,25058,1567.18,82
70,tabu_scramble_continuous,27369,2337.74,224
70,tabu_double_bridge_move,28560,2338.86,173
5,tabu_swap_neighbors,13,0.03,3
5,tabu_swap,13,0.03,0
5,tabu_inverse_complete,13,0.07,0
5,tabu_inverse,13,0.12,2
5,tabu_scramble,13,0.16,2
5,tabu_scramble_continuous,13,0.23,1
5,tabu_double_bridge_move,15,0.27,2
5,tabu_swap_neighbors,13,0.02,3
5,tabu_swap,13,0.02,0
5,tabu_inverse_complete,13,0.04,0
5,tabu_inverse,13,0.07,7
5,tabu_scramble,13,0.09,1
5,tabu_scramble_continuous,13,0.12,0
5,tabu_double_bridge_move,15,0.14,6
8,tabu_swap_neighbors,21,0.04,15
8,tabu_swap,21,0.05,5
8,tabu_inverse_complete,21,0.15,4
8,tabu_inverse,21,0.22,32
8,tabu_scramble,21,0.33,157
8,tabu_scramble_continuous,21,0.5,7
8,tabu_double_bridge_move,25,0.55,11
11,tabu_swap_neighbors,66,0.14,17
11,tabu_swap,61,0.27,35
11,tabu_inverse_complete,61,0.56,5
11,tabu_inverse,61,0.79,92
11,tabu_scramble,61,1.1,5
11,tabu_scramble_continuous,61,1.55,283
11,tabu_double_bridge_move,74,1.59,487
15,tabu_swap_neighbors,147,0.32,35
15,tabu_swap,137,0.87,20
15,tabu_inverse_complete,144,1.71,13
15,tabu_inverse,125,2.07,142
15,tabu_scramble,127,2.94,76
15,tabu_scramble_continuous,129,4.26,263
15,tabu_double_bridge_move,160,4.34,402
20,tabu_swap_neighbors,512,1.0,71
20,tabu_swap,523,3.28,46
20,tabu_inverse_complete,502,6.92,16
20,tabu_inverse,502,8.0,136
20,tabu_scramble,516,11.84,113
20,tabu_scramble_continuous,535,17.34,225
20,tabu_double_bridge_move,626,17.49,181
33,tabu_swap_neighbors,2147,4.08,220
33,tabu_swap,2188,28.65,71
33,tabu_inverse_complete,2143,57.51,39
33,tabu_inverse,2082,62.09,386
33,tabu_scramble,2144,91.6,158
33,tabu_scramble_continuous,2316,135.76,100
33,tabu_double_bridge_move,2552,136.1,418
38,tabu_swap_neighbors,3691,3.95,227
38,tabu_swap,3684,29.81,23
38,tabu_inverse_complete,3577,59.22,66
38,tabu_inverse,3701,63.18,440
38,tabu_scramble,3629,93.16,31
38,tabu_scramble_continuous,3999,138.38,80
38,tabu_double_bridge_move,4261,138.62,495
12,tabu_swap_neighbors,241,0.15,14
12,tabu_swap,241,0.32,6
12,tabu_inverse_complete,246,0.66,4
12,tabu_inverse,246,0.82,13
12,tabu_scramble,246,1.17,4
12,tabu_scramble_continuous,246,1.7,16
12,tabu_double_bridge_move,255,1.75,2
16,tabu_swap_neighbors,566,0.38,33
16,tabu_swap,562,1.06,17
16,tabu_inverse_complete,561,2.14,10
16,tabu_inverse,561,2.52,136
16,tabu_scramble,561,3.66,13
16,tabu_scramble_continuous,564,5.36,43
16,tabu_double_bridge_move,587,5.42,101
17,tabu_swap_neighbors,680,0.46,21
17,tabu_swap,667,1.38,29
17,tabu_inverse_complete,681,2.77,5
17,tabu_inverse,669,3.22,61
17,tabu_scramble,669,4.69,7
17,tabu_scramble_continuous,679,6.9,80
17,tabu_double_bridge_move,710,6.98,369
23,tabu_swap_neighbors,1631,1.15,55
23,tabu_swap,1588,5.03,11
23,tabu_inverse_complete,1584,10.01,13
23,tabu_inverse,1603,11.21,140
23,tabu_scramble,1612,16.43,20
23,tabu_scramble_continuous,1633,24.18,36
23,tabu_double_bridge_move,1692,24.32,459
30,tabu_swap_neighbors,3660,2.77,76
30,tabu_swap,3554,15.81,16
30,tabu_inverse_complete,3425,31.68,22
30,tabu_inverse,3551,34.5,115
30,tabu_scramble,3425,50.72,12
30,tabu_scramble_continuous,3520,75.22,171
30,tabu_double_bridge_move,3694,75.44,226
10,tabu_swap_neighbors,80,0.13,18
10,tabu_swap,76,0.28,6
10,tabu_inverse_complete,76,0.52,6
10,tabu_inverse,76,0.69,15
10,tabu_scramble,76,0.97,38
10,tabu_scramble_continuous,76,1.36,70
10,tabu_double_bridge_move,87,1.42,13
8,tabu_swap_neighbors,21,0.06,15
8,tabu_swap,21,0.07,5
8,tabu_inverse_complete,21,0.15,4
8,tabu_inverse,21,0.24,38
8,tabu_scramble,21,0.35,34
8,tabu_scramble_continuous,21,0.57,49
8,tabu_double_bridge_move,23,0.61,161
8,tabu_swap_neighbors,21,0.06,15
8,tabu_swap,21,0.1,5
8,tabu_inverse_complete,21,0.19,4
8,tabu_inverse,21,0.26,14
8,tabu_scramble,21,0.35,12
8,tabu_scramble_continuous,21,0.49,11
8,tabu_double_bridge_move,23,0.51,431
